ts_code,trade_date,fwd_open,fwd_high,fwd_low,fwd_close,fwd_pre_close,bwd_open,bwd_high,bwd_low,bwd_close,bwd_pre_close,vol,amount,pct_chg,change
600519.SH,20230718,1557.4812,1558.3167,1546.1791,1547.7962,1554.2379,13466.4494,13473.6737,13368.728,13382.7104,13438.407,14737.65,2544005.063,-0.4145,-7.17
600519.SH,20230717,1573.1316,1573.1316,1551.2102,1554.2379,1574.9285,13601.768,13601.768,13412.2288,13438.407,13617.304,14336.48,2482069.846,-1.3137,-23.03
600519.SH,20230714,1577.6237,1579.8698,1564.3271,1574.9285,1561.8115,13640.608,13660.028,13525.6416,13617.304,13503.8912,18550.3,3245530.255,0.8399,14.6
600519.SH,20230713,1547.0685,1568.1095,1544.3912,1561.8115,1539.7104,13376.4183,13558.3449,13353.2697,13503.8912,13312.7984,25806.54,4479772.5,1.4354,24.6
600519.SH,20230712,1539.0276,1547.9759,1537.4913,1539.7104,1536.2965,13306.8947,13384.264,13293.6114,13312.7984,13283.28,13284.67,2280785.351,0.2222,3.8
600519.SH,20230711,1536.2965,1540.9413,1529.1989,1536.2965,1528.1208,13283.28,13323.4406,13221.9128,13283.28,13212.5912,12582.7,2151079.27,0.535,9.1
600519.SH,20230710,1531.8044,1540.7526,1527.3123,1528.1208,1518.355,13244.44,13321.8093,13205.6,13212.5912,13128.153,13477.41,2298241.728,0.6432,10.87
600519.SH,20230707,1528.2107,1535.389,1518.3281,1518.355,1529.9895,13213.368,13275.4343,13127.92,13128.153,13228.7486,15167.42,2571458.553,-0.7604,-12.95
600519.SH,20230706,1535.5418,1556.9601,1527.3123,1529.9895,1541.1299,13276.7549,13461.944,13205.6,13228.7486,13325.0718,15140.62,2589459.002,-0.7229,-12.4
600519.SH,20230705,1554.2648,1556.0347,1527.3123,1541.1299,1554.8039,13438.64,13453.943,13205.6,13325.0718,13443.3008,14745.39,2523960.725,-0.8795,-15.22
600519.SH,20230704,1549.054,1558.2538,1543.5557,1554.8039,1548.9642,13393.5856,13473.1299,13346.0454,13443.3008,13392.8088,12472.38,2155553.635,0.377,6.5
600519.SH,20230703,1526.4138,1550.0243,1520.1249,1548.9642,1519.2265,13197.832,13401.975,13143.456,13392.8088,13135.688,19139.09,3286737.792,1.9574,33.1
600519.SH,20230630,1527.3123,1535.389,1515.1656,1519.2265,1516.3515,13205.6,13275.4343,13100.5766,13135.688,13110.8304,20458.69,3472586.73,0.1896,3.2
600519.SH,20230629,1531.7397,1535.2704,1515.8206,1516.44,1529.4213,13243.881,13274.4085,13106.2395,13111.5952,13223.8354,14231.16,2446524.134,-0.8488,-14.67
600519.SH,20230628,1515.971,1534.3944,1514.042,1529.4213,1514.0862,13107.5402,13266.834,13090.861,13223.8354,13091.2435,18573.56,3199294.221,1.0128,17.33
600519.SH,20230627,1513.1482,1521.7405,1504.3878,1514.0862,1512.2722,13083.1335,13157.4247,13007.3886,13091.2435,13075.559,15174.46,2598138.744,0.12,2.05
600519.SH,20230626,1522.1033,1530.8548,1499.8838,1512.2722,1536.0137,13160.5616,13236.23,12968.445,13075.559,13280.8353,23992.68,4098619.51,-1.5457,-26.83
600519.SH,20230621,1539.7037,1554.3928,1535.2793,1536.0137,1542.7654,13312.74,13439.7466,13274.485,13280.8353,13339.2125,17720.61,3088635.934,-0.4376,-7.63
600519.SH,20230620,1539.7037,1561.8259,1535.2793,1542.7654,1543.2432,13312.74,13504.015,13274.485,13339.2125,13343.344,20946.74,3659824.529,-0.031,-0.54
600519.SH,20230619,1583.948,1590.9829,1537.9339,1543.2432,1590.7528,13695.29,13756.1154,13297.438,13343.344,13754.1262,31699.92,5584248.725,-2.9866,-53.69
600519.SH,20230616,1554.7468,1592.7969,1548.641,1590.7528,1552.977,13442.807,13771.8,13390.0151,13754.1262,13427.505,37917.89,6742301.361,2.4325,42.69
600519.SH,20230615,1531.1557,1553.5522,1524.6606,1552.977,1528.094,13238.8313,13432.4782,13182.673,13427.505,13212.3589,25222.57,4395900.802,1.6284,28.12
600519.SH,20230614,1521.1211,1534.6067,1509.8034,1528.094,1503.4233,13152.069,13268.6702,13054.2127,13212.3589,12999.049,31505.8,5438040.356,1.641,27.88
600519.SH,20230613,1498.8927,1508.3875,1491.0349,1503.4233,1500.7687,12959.8759,13041.9711,12891.935,12999.049,12976.096,14662.54,2485398.902,0.1769,3.0
600519.SH,20230612,1474.2397,1511.3873,1470.2577,1500.7687,1474.222,12746.719,13067.908,12712.2895,12976.096,12746.566,27029.44,4562308.599,1.8007,30.0
600519.SH,20230609,1479.5225,1484.8141,1474.222,1474.222,1475.9918,12792.3955,12838.1485,12746.566,12746.566,12761.868,17580.41,2938014.322,-0.1199,-2.0
600519.SH,20230608,1465.2227,1482.186,1460.0727,1475.9918,1460.8602,12668.7553,12815.425,12624.2265,12761.868,12631.0359,14702.72,2441569.677,1.0358,17.1
600519.SH,20230607,1480.4074,1485.5486,1460.0638,1460.8602,1475.0981,12800.0465,12844.4988,12624.15,12631.0359,12754.1405,17889.64,2971782.064,-0.9652,-16.09
600519.SH,20230606,1477.7616,1490.15,1461.4354,1475.0981,1473.3371,12777.17,12884.284,12636.009,12754.1405,12738.915,19913.92,3326778.183,0.1195,1.99
600519.SH,20230605,1474.3636,1489.1589,1471.5674,1473.3371,1478.2925,12747.7902,12875.7149,12723.613,12738.915,12781.7606,16200.5,2704294.313,-0.3352,-5.6
600519.SH,20230602,1455.6394,1480.549,1447.7728,1478.2925,1447.6046,12585.895,12801.2707,12517.8776,12781.7606,12516.4239,25058.02,4163116.244,2.1199,34.68
600519.SH,20230601,1431.7475,1482.1772,1431.7475,1447.6046,1441.3927,12379.318,12815.3485,12379.318,12516.4239,12462.7139,28645.25,4708722.933,0.431,7.02
600519.SH,20230531,1469.768,1473.9357,1439.3818,1441.355,1476.2098,12708.0553,12744.0906,12445.3268,12462.3881,12763.7531,36956.97,6053737.281,-2.3611,-39.39
600519.SH,20230530,1494.5354,1503.2867,1467.6001,1476.2098,1494.5354,12922.2012,12997.8676,12689.3108,12763.7531,12922.2012,26453.4,4424706.688,-1.2262,-20.71
600519.SH,20230529,1501.6143,1502.8089,1484.8019,1494.5354,1495.9158,12983.4076,12993.7362,12838.0424,12922.2012,12934.1364,17771.41,2998147.159,-0.0923,-1.56
600519.SH,20230526,1506.0386,1508.6932,1482.1561,1495.9158,1505.1537,13021.6616,13044.614,12815.1665,12934.1364,13014.0108,18291.1,3090691.546,-0.6138,-10.44
600519.SH,20230525,1509.5692,1513.1175,1495.4202,1505.1537,1513.9139,13052.1883,13082.868,12929.852,13014.0108,13089.7537,22465.6,3814504.093,-0.5786,-9.9
