ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
600519.SH,20230531,1628.9,0.2942,0.6729,1.79,32.6265,30.8787,9.3745,16.4885,15.6727,2.6757,2.6757,125619.78,125619.78,54925.3243,204622059.642,204622059.642
600519.SH,20230530,1668.29,0.2106,0.4816,1.41,33.4155,31.6254,9.6012,16.8872,16.0517,2.6126,2.6126,125619.78,125619.78,54925.3243,209570222.7762,209570222.7762
600519.SH,20230529,1689.0,0.1415,0.3236,0.76,33.8303,32.018,9.7204,17.0969,16.2509,2.5805,2.5805,125619.78,125619.78,54925.3243,212171808.42,212171808.42
600519.SH,20230526,1690.56,0.1456,0.333,0.73,33.8616,32.0476,9.7293,17.1127,16.2659,2.5781,2.5781,125619.78,125619.78,54925.3243,212367775.2768,212367775.2768
600519.SH,20230525,1701.0,0.1788,0.409,0.92,34.0707,32.2455,9.7894,17.2183,16.3664,2.5623,2.5623,125619.78,125619.78,54925.3243,213679245.78,213679245.78
600519.SH,20230524,1710.9,0.1471,0.3364,0.76,34.269,32.4332,9.8464,17.3185,16.4616,2.5475,2.5475,125619.78,125619.78,54925.3243,214922881.602,214922881.602
600519.SH,20230523,1724.55,0.1345,0.3076,0.67,34.5424,32.6919,9.925,17.4567,16.593,2.5273,2.5273,125619.78,125619.78,54925.3243,216637591.599,216637591.599
600519.SH,20230522,1746.0,0.3286,0.7516,1.86,34.972,33.0986,10.0484,17.6738,16.7994,2.4963,2.4963,125619.78,125619.78,54925.3243,219332135.88,219332135.88
600519.SH,20230519,1699.5,0.2129,0.4869,1.29,34.0406,32.2171,9.7808,17.2031,16.3519,2.5646,2.5646,125619.78,125619.78,54925.3243,213490816.11,213490816.11
600519.SH,20230518,1691.0,0.153,0.3499,0.97,33.8704,32.0559,9.7319,17.1171,16.2702,2.5775,2.5775,125619.78,125619.78,54925.3243,212423047.98,212423047.98
